Audience segment,Type,Campaign,Ad groups,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],16,45,35.56%,USD,1.01,16.23
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],6,10,60.00%,USD,0.20,1.19
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],55,377,14.59%,USD,0.52,28.58
Book Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],91,515,17.67%,USD,1.42,128.97
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,12,16.67%,USD,1.56,3.11
Only FP Site,Custom combination segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],43,172,25.00%,USD,1.04,44.67
Hotels & Accommodations,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,4,50.00%,USD,0.13,0.26
Beachbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],3,8,37.50%,USD,0.31,0.93
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],548,"2,131",25.72%,USD,0.84,458.13
All Site Visitors - 540 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],6,36,16.67%,USD,4.51,27.04
Parents of Grade-Schoolers (6-12 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,10,10.00%,USD,0.23,0.23
NauticaTopPriorityWinterProductsList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],25,97,25.77%,USD,2.62,65.46
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,5,0.00%,USD,0,0.00
SALES PAGE VISITORS - 540 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],132,321,41.12%,USD,0.59,78.20
Mother's Day Dining,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],7,56,12.50%,USD,0.50,3.50
Swimwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],2,4,50.00%,USD,0.39,0.78
NauticaShoppedDuringBtsSeasons20202023Recipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],35,136,25.74%,USD,1.08,37.87
NauticaChicSocietyEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,5,0.00%,USD,0,0.00
All Site Visitors - 7 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],67,203,33.00%,USD,0.41,27.79
Sales & Marketing Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,1,100.00%,USD,0.18,0.18
Travel,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],14,35,40.00%,USD,0.51,7.15
SALES PAGE VISITORS - 14 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],3,19,15.79%,USD,0.86,2.57
NauticaLooseChangeEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,6,16.67%,USD,2.86,2.86
All visitors,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],67,445,15.06%,USD,1.08,72.44
Renters,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],9,63,14.29%,USD,0.62,5.55
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],7,39,17.95%,USD,0.48,3.38
NauticaDoingWellAndDonatingEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,3,0.00%,USD,0,0.00
Snowbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],5,22,22.73%,USD,0.31,1.54
SALES PAGE VISITORS - 540 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],10,41,24.39%,USD,0.76,7.57
NauticaNewArrivalsPaidRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],27,111,24.32%,USD,1.01,27.24
SALES PAGE VISITORS - 540 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],22,85,25.88%,USD,0.77,17.03
All visitors,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],13,82,15.85%,USD,2.08,27.04
Suits & Business Attire,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],2,5,40.00%,USD,0.08,0.15
NauticaBigTallProductAffinityRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],6,28,21.43%,USD,0.44,2.67
All Site Visitors - 90 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],10,40,25.00%,USD,2.35,23.51
Current College Students,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,10,10.00%,USD,1.09,1.09
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,9,22.22%,USD,1.74,3.47
NauticaPredictiveTop25OptimizationRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],22,134,16.42%,USD,0.67,14.81
Beachbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],14,50,28.00%,USD,0.95,13.33
Mother's Day Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],4,43,9.30%,USD,0.80,3.22
NauticaMwHolidayProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],17,83,20.48%,USD,0.98,16.66
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],65,242,26.86%,USD,0.82,53.06
SALES PAGE VISITORS - 14 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],3,16,18.75%,USD,1.98,5.95
Current College Students,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],3,10,30.00%,USD,0.60,1.79
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],647,"3,214",20.13%,USD,1.17,755.58
Boating & Sailing Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],47,205,22.93%,USD,0.64,30.07
Single,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],31,185,16.76%,USD,0.47,14.45
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],239,680,35.15%,USD,0.65,155.39
Online Black Friday Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],72,207,34.78%,USD,0.54,38.99
"Wallets, Briefcases & Leather Goods",In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,2,0.00%,USD,0,0.00
Single,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],54,219,24.66%,USD,0.68,36.94
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,2,0.00%,USD,0,0.00
Men's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],9,26,34.62%,USD,0.65,5.88
NauticaBigTallProductAffinityRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],45,182,24.73%,USD,1.67,75.34
Snowbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],1,3,33.33%,USD,0.30,0.30
NauticaPurchased1xInL12MRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],4,31,12.90%,USD,1.69,6.76
Bargain Hunters,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],8,43,18.60%,USD,0.84,6.72
All Site Visitors - 360 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],66,359,18.38%,USD,1.33,87.74
NauticaMwHolidayProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],378,878,43.05%,USD,0.62,235.21
Online Black Friday Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],18,64,28.13%,USD,0.49,8.77
NauticaNewArrivalsPaidRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,42,0.00%,USD,0,0.00
All Site Visitors - 180 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],47,262,17.94%,USD,2.05,96.52
Parents of Grade-Schoolers (6-12 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],7,42,16.67%,USD,2.64,18.50
Avid Political News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],142,695,20.43%,USD,1.07,152.25
Avid Business News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],37,183,20.22%,USD,0.44,16.27
Nautica180DayLookbackWithHoldoutGroupRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],7,33,21.21%,USD,1.23,8.64
NauticaShoppedDuringBtsSeasons20202023Recipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],8,41,19.51%,USD,1.95,15.60
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],11,23,47.83%,USD,0.11,1.22
SALES PAGE VISITORS - 7 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],21,54,38.89%,USD,0.76,15.92
Men's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],22,93,23.66%,USD,0.83,18.35
All Site Visitors - 540 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],11,78,14.10%,USD,6.10,67.11
Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],63,198,31.82%,USD,1.07,67.36
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],5,43,11.63%,USD,0.95,4.77
Family Vacationers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],22,71,30.99%,USD,0.84,18.46
Entertainment News Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],112,632,17.72%,USD,0.62,69.01
Real Estate,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],68,192,35.42%,USD,0.42,28.34
Mother's Day Flowers & Greeting Cards,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],8,32,25.00%,USD,0.68,5.41
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,2,0.00%,USD,0,0.00
All visitors,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],14,46,30.43%,USD,1.06,14.89
Internships,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],1,2,50.00%,USD,0.01,0.01
Luxury Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],36,104,34.62%,USD,0.60,21.60
Accounting & Finance Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],2,3,66.67%,USD,0.01,0.02
Sales & Marketing Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],2,2,100.00%,USD,0.01,0.02
Online Black Friday Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],12,55,21.82%,USD,0.66,7.92
All Users of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],116,397,29.22%,USD,1.00,116.09
Apparel & Accessories,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],6,45,13.33%,USD,0.59,3.51
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,8,12.50%,USD,0.32,0.32
All Site Visitors - 360 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],37,164,22.56%,USD,1.00,37.02
SALES PAGE VISITORS - 14 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,6,0.00%,USD,0,0.00
Parents of Grade-Schoolers (6-12 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],1,18,5.56%,USD,0.11,0.11
Men's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],6,34,17.65%,USD,0.56,3.33
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],20,117,17.09%,USD,2.81,56.18
Travel Buffs,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],6,23,26.09%,USD,2.94,17.62
Government & Public Sector Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,1,0.00%,USD,0,0.00
Avid Political News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],98,403,24.32%,USD,1.12,110.02
Women's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],13,76,17.11%,USD,0.34,4.48
SALES PAGE VISITORS - 90 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],6,22,27.27%,USD,1.53,9.20
NauticaMEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],441,"1,047",42.12%,USD,0.47,208.98
Boating & Sailing Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],18,137,13.14%,USD,1.15,20.77
After-Christmas Sale Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],2,13,15.38%,USD,1.12,2.23
NauticaJustSailingAlongEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],5,14,35.71%,USD,3.22,16.12
Value Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],11,36,30.56%,USD,1.57,17.30
Men's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],115,365,31.51%,USD,0.50,57.94
"Wallets, Briefcases & Leather Goods",In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],8,27,29.63%,USD,0.37,2.97
News & Politics,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],199,728,27.34%,USD,0.52,103.97
All Users of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],34,170,20.00%,USD,1.05,35.68
Socks,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,1,0.00%,USD,0,0.00
NauticaAlreadyAffluentEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],0,2,0.00%,USD,0,0.00
Activewear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],34,162,20.99%,USD,0.29,9.92
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],7,31,22.58%,USD,0.58,4.04
Music Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],74,378,19.58%,USD,0.84,62.26
Men's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],31,150,20.67%,USD,0.86,26.61
Travel Buffs,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],14,75,18.67%,USD,0.60,8.34
Government & Public Sector Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],1,3,33.33%,USD,0.01,0.01
All Site Visitors - 14 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],11,64,17.19%,USD,1.08,11.92
Hotels & Accommodations,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],20,63,31.75%,USD,0.72,14.37
Book Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],"3,054","9,417",32.43%,USD,0.62,1893.12
Bargain Hunters,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],7,22,31.82%,USD,0.31,2.18
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],3,17,17.65%,USD,0.97,2.91
Nautica180DayLookbackWithHoldoutGroupRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],194,459,42.27%,USD,0.74,143.19
All Site Visitors - 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],25,179,13.97%,USD,1.18,29.53
Family Vacationers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],52,175,29.71%,USD,0.67,35.00
NauticaShoppedDuringBtsSeasons20202023Recipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],152,351,43.30%,USD,0.49,74.25
SALES PAGE VISITORS - 90 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,3,0.00%,USD,0,0.00
Shoes,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,6,16.67%,USD,0.04,0.04
NauticaPurchased1xInTheLast6M24MRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,22,9.09%,USD,0.72,1.44
News & Politics,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],193,"1,215",15.88%,USD,0.53,101.97
Mother's Day Dining,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],9,32,28.13%,USD,0.48,4.33
NauticaWEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],8,68,11.76%,USD,2.11,16.89
Nautica180DayLookbackWithHoldoutGroupRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],4,37,10.81%,USD,4.92,19.66
Mother's Day Flowers & Greeting Cards,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],18,64,28.13%,USD,0.85,15.21
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],84,362,23.20%,USD,1.12,94.42
SALES PAGE VISITORS - 360 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],104,240,43.33%,USD,0.75,77.65
Executive & Management Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,1,0.00%,USD,0,0.00
Car Rental,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],0,1,0.00%,USD,0,0.00
NauticaPredictiveTop25OptimizationRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],66,256,25.78%,USD,1.41,93.38
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],19,87,21.84%,USD,0.84,15.88
Single,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],312,"1,029",30.32%,USD,0.57,177.41
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],8,26,30.77%,USD,0.63,5.07
All Site Visitors - 180 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],6,49,12.24%,USD,0.90,5.38
NauticaBigTallProductAffinityRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],155,366,42.35%,USD,1.01,156.00
SALES PAGE VISITORS - 30 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],39,95,41.05%,USD,0.51,19.94
Advertising & Marketing Services,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],1,4,25.00%,USD,0.01,0.01
NauticaLooseChangeEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],7,17,41.18%,USD,0.08,0.55
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,17,11.76%,USD,2.25,4.50
NauticaMwDenimPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],252,552,45.65%,USD,0.48,121.58
All Site Visitors - 90 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],15,92,16.30%,USD,1.68,25.22
Nautica180DayLookbackWithHoldoutGroupRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],18,77,23.38%,USD,1.17,21.04
NauticaMwHolidayProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],39,147,26.53%,USD,1.13,44.25
