Audience segment,Type,Campaign,Ad groups,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Purchasers of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],10,22,45.45%,USD,1.31,13.13
Mother's Day Flowers & Greeting Cards,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],11,42,26.19%,USD,0.46,5.01
Avid Business News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],6,67,8.96%,USD,1.16,6.98
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],7,34,20.59%,USD,0.96,6.71
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,4,0.00%,USD,0,0.00
Single,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],84,381,22.05%,USD,0.89,74.34
All Site Visitors - 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],26,89,29.21%,USD,2.06,53.56
Avid Business News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],95,381,24.93%,USD,1.04,98.59
NauticaSummerProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],8,39,20.51%,USD,0.89,7.13
NauticaWEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],13,45,28.89%,USD,0.53,6.90
NauticaLooseChangeEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,6,16.67%,USD,5.29,5.29
NauticaBtsProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],18,83,21.69%,USD,0.61,11.03
NauticaMwHolidayProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],8,26,30.77%,USD,0.62,4.95
Boating & Sailing Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],79,480,16.46%,USD,0.61,48.31
NauticaDoingWellAndDonatingEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],5,21,23.81%,USD,2.28,11.38
Women's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],9,51,17.65%,USD,0.73,6.61
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,13,7.69%,USD,1.16,1.16
Swimwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,5,0.00%,USD,0,0.00
NauticaLooseChangeEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,1,0.00%,USD,0,0.00
NauticaSummerProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],21,82,25.61%,USD,0.92,19.38
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],192,666,28.83%,USD,0.54,102.77
Parents of Toddlers (1-3 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,2,0.00%,USD,0,0.00
NauticaNewArrivalsPaidRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],200,416,48.08%,USD,1.15,229.55
NauticaChicSocietyEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],9,31,29.03%,USD,2.53,22.75
Book Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],230,"1,335",17.23%,USD,0.57,130.41
Parents of Infants (0-1 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,3,33.33%,USD,0.78,0.78
Apparel & Accessories,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],226,572,39.51%,USD,0.54,121.90
Mother's Day Dining,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,14,14.29%,USD,0.26,0.51
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],174,417,41.73%,USD,0.47,81.08
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],3,12,25.00%,USD,0.16,0.49
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],298,761,39.16%,USD,0.36,106.90
Women's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],119,404,29.46%,USD,0.61,73.12
Moving & Relocation,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,2,50.00%,USD,0.01,0.01
NauticaTopPriorityWinterProductsList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],5,30,16.67%,USD,2.36,11.78
Book Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],248,892,27.80%,USD,0.53,132.43
NauticaSummerProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],441,"1,029",42.86%,USD,0.62,274.67
Apparel & Accessories,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],34,148,22.97%,USD,0.52,17.63
Luxury Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],8,31,25.81%,USD,0.75,5.97
NauticaBtsProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],452,"1,065",42.44%,USD,0.62,282.34
SALES PAGE VISITORS - 540 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,7,28.57%,USD,1.51,3.01
Entertainment News Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],96,400,24.00%,USD,0.54,52.12
Purchasers of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,15,0.00%,USD,0,0.00
All Site Visitors - 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],11,52,21.15%,USD,0.77,8.46
Activewear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],151,704,21.45%,USD,0.84,126.73
Bargain Hunters,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],71,198,35.86%,USD,0.36,25.46
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],23,102,22.55%,USD,0.84,19.28
Socks,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,1,0.00%,USD,0,0.00
In-Store Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],2,5,40.00%,USD,0.01,0.02
Car Rental,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,2,0.00%,USD,0,0.00
NauticaMwHolidayProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],14,77,18.18%,USD,4.84,67.75
Men's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],81,364,22.25%,USD,0.83,66.95
After-Christmas Sale Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],6,26,23.08%,USD,0.89,5.36
Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],15,41,36.59%,USD,0.94,14.14
Beachbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],44,126,34.92%,USD,0.75,33.01
Mother's Day Dining,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],5,33,15.15%,USD,0.94,4.72
Hotels & Accommodations,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,10,0.00%,USD,0,0.00
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],78,441,17.69%,USD,0.86,66.71
After-Christmas Sale Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,4,0.00%,USD,0,0.00
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],71,234,30.34%,USD,0.33,23.65
Parents of Preschoolers (4-5 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,1,0.00%,USD,0,0.00
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,4,0.00%,USD,0,0.00
NauticaGenZShopperList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,3,0.00%,USD,0,0.00
Real Estate,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],2,33,6.06%,USD,0.53,1.06
Current College Students,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],13,46,28.26%,USD,1.29,16.72
NauticaDoingWellAndDonatingEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,3,33.33%,USD,1.24,1.24
NauticaPredictiveTop25OptimizationRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],17,43,39.53%,USD,1.07,18.15
Advertising & Marketing Services,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,3,0.00%,USD,0,0.00
Snowbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],2,7,28.57%,USD,2.52,5.03
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],3,42,7.14%,USD,0.87,2.62
Swimwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,1,0.00%,USD,0,0.00
Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],82,237,34.60%,USD,0.61,50.37
Avid Political News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],33,218,15.14%,USD,0.55,18.23
NauticaPurchased1xInL12MRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],8,59,13.56%,USD,2.08,16.68
Real Estate,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],6,19,31.58%,USD,0.19,1.15
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],5,17,29.41%,USD,0.21,1.06
Family Vacationers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],4,14,28.57%,USD,0.22,0.88
NauticaMwDenimPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],7,17,41.18%,USD,0.38,2.65
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],76,218,34.86%,USD,0.49,37.24
Shoes,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],40,140,28.57%,USD,0.88,35.06
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],637,"2,047",31.12%,USD,0.47,296.43
All Site Visitors - 14 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],3,24,12.50%,USD,0.53,1.60
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,5,40.00%,USD,0.01,0.02
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,8,25.00%,USD,3.09,6.17
NauticaWEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],15,66,22.73%,USD,0.97,14.50
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],14,45,31.11%,USD,0.63,8.80
All Users of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],21,86,24.42%,USD,0.47,9.82
Shoes,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,7,0.00%,USD,0,0.00
In a Relationship,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],3,9,33.33%,USD,0.13,0.39
Parents of Infants (0-1 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],6,18,33.33%,USD,1.27,7.60
Activewear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],125,544,22.98%,USD,0.65,81.25
NauticaBtsProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],9,55,16.36%,USD,2.57,23.13
All Site Visitors - 14 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],5,27,18.52%,USD,0.67,3.34
Bargain Hunters,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],17,69,24.64%,USD,0.75,12.76
NauticaPurchased1xInTheLast6M24MRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],26,102,25.49%,USD,1.08,28.14
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],25,52,48.08%,USD,0.31,7.81
NauticaMEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],9,106,8.49%,USD,0.71,6.40
All Site Visitors - 360 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],17,69,24.64%,USD,1.16,19.73
Avid World News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],14,80,17.50%,USD,0.58,8.13
Government & Public Sector Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],0,2,0.00%,USD,0,0.00
SALES PAGE VISITORS - 30 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,3,33.33%,USD,5.04,5.04
Travel Buffs,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],32,107,29.91%,USD,0.71,22.78
Mother's Day Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],15,59,25.42%,USD,0.88,13.25
NauticaDoingWellAndDonatingEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],6,31,19.35%,USD,1.36,8.16
SALES PAGE VISITORS - 30 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,10,20.00%,USD,7.37,14.73
News & Politics,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],616,"3,163",19.48%,USD,1.12,689.09
Business Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,12,8.33%,USD,0.73,0.73
NauticaBtsProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],73,377,19.36%,USD,1.53,111.86
NauticaPredictiveTop25OptimizationRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],17,114,14.91%,USD,2.77,47.09
Women's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],6,19,31.58%,USD,0.51,3.07
Shoes,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],14,32,43.75%,USD,0.73,10.25
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],212,"1,553",13.65%,USD,0.51,108.62
Music Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],"2,321","7,518",30.87%,USD,0.55,1267.50
Avid World News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],67,303,22.11%,USD,0.71,47.44
Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],10,53,18.87%,USD,1.00,9.98
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],19,105,18.10%,USD,0.33,6.23
All Site Visitors - 540 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],355,919,38.63%,USD,0.77,272.10
Mother's Day Flowers & Greeting Cards,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,13,7.69%,USD,0.86,0.86
Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],78,270,28.89%,USD,0.80,62.58
Travel,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],25,98,25.51%,USD,0.66,16.52
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],30,111,27.03%,USD,0.66,19.78
NauticaPurchased1xInTheLast6M24MRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],5,41,12.20%,USD,1.31,6.54
Men's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],217,584,37.16%,USD,1.03,224.23
Current College Students,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],0,6,0.00%,USD,0,0.00
Bargain Hunters,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],10,49,20.41%,USD,0.56,5.56
All Site Visitors - 180 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],3,29,10.34%,USD,0.74,2.21
Mother's Day Dining,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],60,153,39.22%,USD,0.50,30.05
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],197,908,21.70%,USD,0.91,179.16
NauticaGenZShopperList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],2,8,25.00%,USD,0.65,1.29
All Site Visitors - 90 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],43,239,17.99%,USD,1.16,49.82
Air Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,3,33.33%,USD,4.83,4.83
Travel,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],23,89,25.84%,USD,0.68,15.74
Luxury Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],2,21,9.52%,USD,0.19,0.37
NauticaDoingWellAndDonatingEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,1,0.00%,USD,0,0.00
All Site Visitors - 7 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],14,77,18.18%,USD,1.27,17.83
Men's Apparel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],1,31,3.23%,USD,0.63,0.63
All Site Visitors - 180 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],34,131,25.95%,USD,1.47,50.05
Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],22,72,30.56%,USD,0.89,19.51
Avid Political News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],29,121,23.97%,USD,0.70,20.41
NauticaChicSocietyEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],17,50,34.00%,USD,0.80,13.65
Women's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],33,163,20.25%,USD,0.75,24.85
NauticaPurchased1xInTheLast6M24MRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],232,536,43.28%,USD,0.57,132.95
Sales & Marketing Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],0,1,0.00%,USD,0,0.00
Boating & Sailing Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],751,"2,431",30.89%,USD,0.68,507.34
NauticaTopPriorityWinterProductsList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],154,333,46.25%,USD,0.54,83.81
SALES PAGE VISITORS - 7 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,4,50.00%,USD,0.67,1.34
Value Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],1,3,33.33%,USD,0.34,0.34
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],19,77,24.68%,USD,0.55,10.51
All Site Visitors - 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],84,258,32.56%,USD,0.53,44.88
Shopping Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],8,32,25.00%,USD,0.49,3.95
Swimwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,3,33.33%,USD,0.21,0.21
Travel,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],100,309,32.36%,USD,0.67,66.69
Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,6,33.33%,USD,0.17,0.34
Avid Political News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],18,79,22.78%,USD,0.91,16.31
